Sbjct Cd,Catalog Nbr,Class Section Cd,Course Title ,Instructor Name,Start,End,Day,Student
BIOL-SHU,21,1,Foundations of Biology I,"Fang,Gang",9:45 AM,11:00 AM,TR,"32,509"
BIOL-SHU,21,1,Foundations of Biology I,"Fang,Gang",9:45 AM,11:00 AM,TR,"8,993,044"
BIOL-SHU,21,1,Foundations of Biology I,"Fang,Gang",9:45 AM,11:00 AM,TR,"4,057,475"
BIOL-SHU,21,1,Foundations of Biology I,"Fang,Gang",9:45 AM,11:00 AM,TR,200
BIOL-SHU,21,1,Foundations of Biology I,"Fang,Gang",9:45 AM,11:00 AM,TR,"6,535"
BIOL-SHU,21,1,Foundations of Biology I,"Fang,Gang",9:45 AM,11:00 AM,TR,"758,820"
BIOL-SHU,21,1,Foundations of Biology I,"Fang,Gang",9:45 AM,11:00 AM,TR,"4,022,285"
BIOL-SHU,21,1,Foundations of Biology I,"Fang,Gang",9:45 AM,11:00 AM,TR,"8,403"
BIOL-SHU,21,1,Foundations of Biology I,"Fang,Gang",9:45 AM,11:00 AM,TR,5
BIOL-SHU,21,1,Foundations of Biology I,"Fang,Gang",9:45 AM,11:00 AM,TR,"2,407,953"
BIOL-SHU,21,1,Foundations of Biology I,"Fang,Gang",9:45 AM,11:00 AM,TR,535
BIOL-SHU,21,1,Foundations of Biology I,"Fang,Gang",9:45 AM,11:00 AM,TR,"673,477"
BIOL-SHU,21,1,Foundations of Biology I,"Fang,Gang",9:45 AM,11:00 AM,TR,"99,736"
BIOL-SHU,21,1,Foundations of Biology I,"Fang,Gang",9:45 AM,11:00 AM,TR,"3,693,556"
BIOL-SHU,21,1,Foundations of Biology I,"Fang,Gang",9:45 AM,11:00 AM,TR,"294,630"
BIOL-SHU,21,1,Foundations of Biology I,"Fang,Gang",9:45 AM,11:00 AM,TR,"3,606,877"
BIOL-SHU,21,1,Foundations of Biology I,"Fang,Gang",9:45 AM,11:00 AM,TR,"448,806"
BIOL-SHU,21,1,Foundations of Biology I,"Fang,Gang",9:45 AM,11:00 AM,TR,"62,503"
BIOL-SHU,21,1,Foundations of Biology I,"Fang,Gang",9:45 AM,11:00 AM,TR,"3,659,277"
BIOL-SHU,21,1,Foundations of Biology I,"Fang,Gang",9:45 AM,11:00 AM,TR,"40,705"
BIOL-SHU,21,1,Foundations of Biology I,"Fang,Gang",9:45 AM,11:00 AM,TR,"46,079"
BIOL-SHU,21,1,Foundations of Biology I,"Fang,Gang",9:45 AM,11:00 AM,TR,493
BIOL-SHU,21,1,Foundations of Biology I,"Fang,Gang",9:45 AM,11:00 AM,TR,950
BIOL-SHU,21,1,Foundations of Biology I,"Fang,Gang",9:45 AM,11:00 AM,TR,"5,250,554"
BIOL-SHU,21,1,Foundations of Biology I,"Fang,Gang",9:45 AM,11:00 AM,TR,795
BIOL-SHU,21,1,Foundations of Biology I,"Fang,Gang",9:45 AM,11:00 AM,TR,"7,068,674"
BIOL-SHU,21,1,Foundations of Biology I,"Fang,Gang",9:45 AM,11:00 AM,TR,"8,525,903"
BIOL-SHU,21,1,Foundations of Biology I,"Fang,Gang",9:45 AM,11:00 AM,TR,"5,862,254"
BIOL-SHU,21,1,Foundations of Biology I,"Fang,Gang",9:45 AM,11:00 AM,TR,"6,492"
BIOL-SHU,21,1,Foundations of Biology I,"Fang,Gang",9:45 AM,11:00 AM,TR,"54,944"
BIOL-SHU,21,1,Foundations of Biology I,"Fang,Gang",9:45 AM,11:00 AM,TR,"2,048,798"
BIOL-SHU,200,1,Topics:,"Kang,Jungseog",9:45 AM,11:00 AM,MW,594
BIOL-SHU,200,1,Topics:,"Kang,Jungseog",9:45 AM,11:00 AM,MW,"78,748"
BIOL-SHU,250,1,Organismal Systems,"Yu,Danyang",1:15 PM,2:30 PM,TR,"6,664,057"
